codigo;descripcion;ean_leido
80-132;DUCHA EMB. C/TRANSF.CR C.CERAM VIGO;7798160582087;
81-132;DUCHA EMB. S/TRANSF. CR C.CERAM VIGO;7798160582094;
82-132;DUCHA EXT. S/TRANSF. CR C.CERAM VIGO;7798160582117;
83-132;DUCHA EXT. C/TRANSF. CR C.CERAM VIGO;7798160582100;
61-024;LAVATORIO CR P. FUNDIDO SEVILLA PLUS;7798160582025;
935/CR;JGO. PARED EXT CR P.BAJO S ARES;7798077380431;
60-131;LAVATORIO C.CERAM CR MALLORCA;7798160581837 ;https://foschia.com.ar/p/griferia-bano-peirano-lavatorio-mallorca-cromo-60-131/18132051-d836-4558-bcfd-08001d8d2e0a?srsltid=AfmBOooweuglU40Kw7qzCp3XKmKwmFTjfG3-Mm4woxYlYt3oUMY2EExK
70-199;BIDET LIVE CROMO C CERAMICO;7798077388543 ;\\srv01qp\Planera\70-199.pdf
62-131;LAVATORIO PARED CR C.CERAM MALLORCA;7798160581868;
70-131;BIDE C.CERAM CR MALLORCA;7798160581844;
80-131;DUCHA EMB. C/TRANSF. CR C.CERAM MALLORCA;7798160581851;
